doc_id,title,published_date,publication_type,url,has_competitor_affiliation
PMID:41657209,Two-Year Real-World Effectiveness of Deucravacitinib in Psoriasis: The Analysis Stratified by Prior Apremilast or Biologic Therapy.,2026-02-09,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41657209/,0
PMID:41642152,"INDIVIDUAL ARTICLE: Evidence-Based Synthesis of Deucravacitinib: Long Term Efficacy, Safety, and Practical Use in Moderate-to-Severe Psoriasis.",2026-02-01,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41642152/,0
PMID:41642132,Dual IL-17A/F Blockade for Acrodermatitis Continua of Hallopeau: A Clinical Response to Bimekizumab.,2026-02-01,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41642132/,0
PMID:40974167,Investigation of infection risk associated with Janus kinase inhibitors: a pharmacovigilance analysis using the Food and Drug Administration's Adverse Event Reporting System database.,2026-01-27,Journal Article,https://pubmed.ncbi.nlm.nih.gov/40974167/,0
PMID:41596733,Systemic Treatment Strategies for Patients with Psoriasis and Psoriatic Arthritis in the Setting of ANA Positivity or Lupus Spectrum Disease: A Comprehensive Systematic Review.,2026-01-22,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41596733/,0
PMID:41577058,Reframing Psoriasis Therapy: TYK2 Inhibition and the Erosion of the Oral-Biologic Divide.,2026-01-21,Letter,https://pubmed.ncbi.nlm.nih.gov/41577058/,0
PMID:41648065,Emerging Targets in Psoriatic Arthritis: Dual IL-17A/F and Selective TYK2 Inhibition in a Clinical Perspective.,2026-01-08,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41648065/,0
PMID:41489211,Two-Year Real-World Effectiveness of Deucravacitinib 6 mg in Psoriasis: A Single-Center Analysis Stratified by Body Mass Index or Age in a Japanese Cohort.,2026-01-05,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41489211/,0
PMID:41489170,The Maintenance of Early Responses and Achievement of Delayed Responses to Deucravacitinib Treatment in Psoriais: A 104-Week Real-World Study in Japan.,2026-01-05,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41489170/,0
PMID:40991399,TYK2 Promotes Immunosurveillance of Colorectal Cancer Liver Metastasis.,2026-01-02,Journal Article,https://pubmed.ncbi.nlm.nih.gov/40991399/,0
